key,value,description
game_title,奥杜尔十人金团模拟器,静态前端MVP
player_pool_size,50,每局固定加入全部玩家自建人物，再从随机生成人物中按seed补满50人
raid_size,10,玩家是团长/经理，不占战斗名额
offer_min,5,每轮申请人数下限
offer_max,5,每轮申请人数上限
max_recruit_rounds,18,未组满10人则本局招募失败
max_invites_per_round,2,一轮最多邀请2人；未邀请者永久消失
max_boss_attempts,3,每个Boss最多尝试3次
initial_morale,70,团队初始士气
wipe_morale_loss_1,8,第一次灭团
wipe_morale_loss_2,12,第二次灭团
wipe_morale_loss_3,15,第三次失败直接结束
clean_kill_morale_gain,3,无人死亡击杀
messy_kill_morale_gain,1,有人死亡击杀
min_tanks,2,开团硬要求
min_healers,2,开团硬要求
max_healers,3,三治疗提高容错但降低输出
invalid_composition_fail_pct,85,职责人数或坦克装等不满足门槛时直接结构失败的概率%
hard_mode_policy,固定H,有困难模式的Boss只模拟困难模式；其他Boss普通
loot_per_boss,2,普通Boss抽2件普通；H Boss抽1普通+1困难；奥尔加隆抽2专属
auction_increment_gold,500,标准加价
auction_discount_rounds,1,无人起拍时只降价一次
salvage_gold,100,再次无人要则分解/卖店进入金池
leader_fee_pct,0,MVP默认不抽团长费
leave_probability_cap,45,单次灭团后个人退团率上限%
high_pot_leave_reduction,4,预计人均分金高时最多降低退团率
low_pot_leave_increase,6,进度较深但金池很低时增加退团率
replacement_success_pct_1,80,本局第一次退团时每条有效引荐渠道独立补人成功率%
replacement_success_pct_2,40,本局第二次退团时每条有效引荐渠道独立补人成功率%
special_collapse_leave_pct,40,多多虎或多多球喷指定队友并触发分崩离析的概率%
internet_cafe_leave_pct,0.5,愤怒月神或元素打击每场战斗结束后网吧到点离队概率%
special_wipe_event_pct,0.5,每项趣味灭团事件在符合条件时的单场触发概率%
incidental_death_multiplier,1.25,非灭团技能造成个人减员的概率倍率
low_morale_power_penalty_55,2,士气低于55时额外团队发挥惩罚
low_morale_power_penalty_40,4,士气低于40时额外团队发挥惩罚
low_morale_power_penalty_25,7,士气低于25时额外团队发挥惩罚
raid_buff_power_cap,2.4,团队Buff提供的战斗能力加成上限
random_seed_mode,每局随机,开发调试时可固定seed
item_level_range,200-232,人物使用统一角色装等；各专精只记录skill，不再单独记录副修装等
item_level_field,character_item_level,Players_Public使用signup_item_level；Player_Specs仅复制同一角色装等，不允许副修独立装等
