loot_id,boss_id,drop_group,item_name,slot,category,eligible_tags,grade,start_price_gold,reference_price_gold,weight,source_url,note,item_id,icon_file
L001,B01,普通,能量弯管,饰品,饰品,法系DPS|治疗,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45292,45292.jpg
L002,B01,普通,燃铁灌注器,饰品,饰品,物理DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45286,45286.jpg
L003,B01,普通,火魄,主手剑,武器,法系DPS|治疗,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45287,45287.jpg
L004,B01,普通,铁魂,双手锤,武器,物理DPS,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45282,45282.jpg
L005,B01,困难,闪烁徽记,戒指,首饰,法系DPS|治疗,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45297,45297.jpg
L006,B01,困难,强效治愈护手,皮甲手,护甲,治疗,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45293,45293.jpg
L007,B01,困难,炽热复仇衬肩,锁甲肩,护甲,物理DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45300,45300.jpg
L008,B01,困难,镀金精钢腿铠,板甲腿,护甲,坦克|物理DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45295,45295.jpg
L009,B02,普通,浓烟之怒披风,披风,护甲,法系DPS,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45318,45318.jpg
L010,B02,普通,看守者的披风,披风,护甲,坦克,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45317,45317.jpg
L011,B02,普通,点火短杖,副手,武器,法系DPS|治疗,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45314,45314.jpg
