player_id,spec,role,character_item_level,skill,boss_experience,willing_switch,publicly_claimed
P001,战斗贼,近战DPS,231,83,58,是,是
P002,惩戒,近战DPS,227,86,61,是,是
P002,奶骑,治疗,227,91,61,是,是
P003,惩戒,近战DPS,232,84,55,是,是
P003,防骑,坦克,232,84,57,是,是
P003,奶骑,治疗,232,94,56,否,是
P004,射击猎,远程DPS,215,54,41,是,是
P004,生存猎,远程DPS,215,59,63,是,否
P005,奶德,治疗,228,71,73,是,是
P006,刺杀贼,近战DPS,217,69,54,是,是
P007,暗牧,远程DPS,220,77,68,是,是
P008,火法,远程DPS,225,97,76,是,是
P009,生存猎,远程DPS,212,66,51,是,是
P010,猫德,近战DPS,217,83,60,是,是
P010,熊德,坦克,217,73,61,否,是
P011,增强,近战DPS,216,68,47,是,是
P012,奶萨,治疗,232,94,78,是,是
P012,元素,远程DPS,232,84,58,是,是
P013,鸟德,远程DPS,226,93,80,是,是
P013,熊德,坦克,226,93,69,是,否
P014,奶德,治疗,226,78,64,是,是
P014,熊德,坦克,226,78,67,是,是
P015,惩戒,近战DPS,218,58,41,是,是
P015,奶骑,治疗,218,68,51,是,是
P016,恶魔术,远程DPS,227,86,58,是,否
P016,痛苦术,远程DPS,227,81,73,是,是
P017,恶魔术,远程DPS,229,80,59,是,是
P018,戒律牧,治疗,225,93,67,是,是
P018,神牧,治疗,225,61,43,是,是
P019,冰DK,近战DPS,220,81,66,是,是
P020,冰DK,近战DPS,227,83,47,是,是
P020,邪DK,近战DPS,227,78,60,是,是
P021,熊德,坦克,214,61,52,是,是
P022,冰DK,近战DPS,222,59,43,是,是
P022,血DK,坦克,222,91,68,是,是
P023,奥法,远程DPS,229,83,59,是,是
P024,邪DK,近战DPS,224,65,48,是,是
P025,惩戒,近战DPS,212,63,40,是,否
P025,奶骑,治疗,212,58,46,是,是
P026,邪DK,近战DPS,222,61,42,是,是
P026,血DK,坦克,222,56,46,是,是
P027,狂暴战,近战DPS,230,85,66,是,是
P027,武器战,近战DPS,230,80,64,否,是
P028,戒律牧,治疗,229,91,66,是,是
P028,神牧,治疗,229,91,75,是,是
P029,奶德,治疗,216,74,58,是,是
P029,鸟德,远程DPS,216,74,54,是,是
P030,射击猎,远程DPS,226,64,52,是,否
P030,生存猎,远程DPS,226,82,65,是,是
P031,奥法,远程DPS,215,48,43,是,是
P031,火法,远程DPS,215,73,54,是,是
P032,防骑,坦克,224,72,46,是,是
P032,奶骑,治疗,224,77,56,是,是
P033,恶魔术,远程DPS,217,76,61,是,是
P033,痛苦术,远程DPS,217,51,48,是,否
P034,防战,坦克,220,83,54,是,是
P034,武器战,近战DPS,220,88,50,是,是
P035,狂暴战,近战DPS,221,69,55,否,是
P035,武器战,近战DPS,221,64,61,是,是
P036,奶萨,治疗,218,66,43,是,是
P036,元素,远程DPS,218,84,54,是,是
P037,惩戒,近战DPS,222,83,51,是,是
P037,奶骑,治疗,222,51,34,是,是
P038,冰DK,近战DPS,224,78,67,是,否
P038,邪DK,近战DPS,224,83,73,是,是
P039,猫德,近战DPS,230,84,62,是,是
P039,鸟德,远程DPS,230,74,47,是,是
P039,熊德,坦克,230,89,53,是,是
P040,冰DK,近战DPS,218,71,65,是,是
P041,猫德,近战DPS,221,84,55,是,是
P041,熊德,坦克,221,84,62,是,是
P042,奶萨,治疗,216,43,40,是,是
P042,元素,远程DPS,216,61,58,是,是
P043,奶萨,治疗,221,94,70,是,是
P043,增强,近战DPS,221,84,73,是,是
P044,暗牧,远程DPS,216,89,72,是,是
P044,戒律牧,治疗,216,64,56,是,是
P045,狂暴战,近战DPS,214,83,59,是,是
P045,武器战,近战DPS,214,77,60,是,是
P046,暗牧,远程DPS,228,79,51,是,是
P046,戒律牧,治疗,228,79,66,是,是
P047,奶德,治疗,211,41,30,是,是
P047,鸟德,远程DPS,211,66,50,是,是
P048,防骑,坦克,216,65,63,是,是
P049,恶魔术,远程DPS,218,52,58,是,是
P049,痛苦术,远程DPS,218,64,56,是,否
P050,奶萨,治疗,224,66,51,是,是
P051,刺杀贼,近战DPS,226,62,47,是,是
P051,战斗贼,近战DPS,226,80,65,是,是
P052,防骑,坦克,210,57,62,是,是
P052,奶骑,治疗,210,62,53,是,否
P053,防战,坦克,228,89,72,是,是
P053,武器战,近战DPS,228,79,56,是,否
P054,奶德,治疗,229,71,68,是,是
P054,鸟德,远程DPS,229,76,69,是,是
P055,猫德,近战DPS,225,87,65,是,是
P055,奶德,治疗,225,76,73,是,是
P056,血DK,坦克,221,76,55,是,是
P057,防骑,坦克,225,46,32,是,是
P057,奶骑,治疗,225,64,45,是,是
P058,防战,坦克,223,90,77,是,是
P058,武器战,近战DPS,223,65,61,是,否
P059,痛苦术,远程DPS,213,74,59,是,是
P060,恶魔术,远程DPS,216,35,35,是,是
P060,痛苦术,远程DPS,216,63,51,是,是
P061,奶萨,治疗,220,75,60,是,是
P061,元素,远程DPS,220,82,54,是,否
P062,战斗贼,近战DPS,217,84,76,是,是
P063,奥法,远程DPS,223,78,70,是,是
P063,火法,远程DPS,223,83,71,是,否
P064,惩戒,近战DPS,225,75,67,是,是
P064,防骑,坦克,225,80,69,是,是
P065,暗牧,远程DPS,216,59,52,是,否
P065,神牧,治疗,216,77,62,是,是
P066,戒律牧,治疗,225,81,56,是,是
P067,防战,坦克,231,81,56,是,是
P067,狂暴战,近战DPS,231,81,60,是,是
P068,奶萨,治疗,212,44,50,是,是
P068,增强,近战DPS,212,69,59,是,是
P069,暗牧,远程DPS,219,84,72,是,是
P069,神牧,治疗,219,79,59,是,是
P070,奥法,远程DPS,224,68,66,是,否
P070,火法,远程DPS,224,75,60,是,是
P071,防战,坦克,227,87,65,是,是
P071,狂暴战,近战DPS,227,92,73,是,是
P072,生存猎,远程DPS,229,87,70,是,是
P073,奶萨,治疗,226,77,65,是,是
P073,增强,近战DPS,226,52,43,是,否
P074,猫德,近战DPS,207,35,30,是,否
P074,奶德,治疗,207,53,45,是,是
P075,奥法,远程DPS,215,76,68,是,是
P075,火法,远程DPS,215,85,66,是,否
P076,射击猎,远程DPS,230,86,70,是,是
P076,生存猎,远程DPS,230,95,60,是,是
P077,猫德,近战DPS,231,90,63,是,是
P077,熊德,坦克,231,72,53,是,否
P078,奶萨,治疗,222,79,55,是,是
P078,元素,远程DPS,222,97,75,是,是
P079,刺杀贼,近战DPS,214,75,61,是,是
P080,戒律牧,治疗,225,67,52,是,是
P080,神牧,治疗,225,57,37,是,是
P081,奶萨,治疗,221,95,96,是,是
P081,元素,远程DPS,221,98,98,是,是
P082,暗牧,远程DPS,224,82,88,是,是
P082,戒律牧,治疗,224,97,98,是,是
P082,神牧,治疗,224,85,91,是,是
P083,惩戒,近战DPS,226,58,48,是,是
P083,防骑,坦克,226,72,58,是,是
P084,防战,坦克,229,82,86,是,是
P084,狂暴战,近战DPS,229,90,90,是,是
P085,战斗贼,近战DPS,219,70,88,是,是
P086,生存猎,远程DPS,226,80,72,是,是
P087,猫德,近战DPS,219,55,36,是,是
P087,奶德,治疗,219,45,35,是,是
P087,鸟德,远程DPS,219,65,40,是,是
