player_id,combat_tier,main_skill,mechanics,awareness,stability,teamwork,learning,mentality,pressure_resistance,social_primary,social_secondary,base_leave_pct,economy_type,wallet_gold,spend_willingness,bid_aggression,bargain_factor,purchase_preference,claim_honesty,source_type,personality_type,strength_tags,weakness_tags,special_rule,leave_policy,description
P001,中上,83,93,85,66,75,56,75,73,自信型,无,0,武器饰品党,17000,44,53,0.76,武器|饰品,80,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P002,优秀,86,79,95,78,88,88,50,64,玻璃心,无,9.4,毕业装党,71000,52,58,0.84,S|S+,80,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P003,优秀,84,79,71,94,66,58,92,86,自信型,无,0,捡漏型,19000,57,35,0.37,低价,91,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P004,偏弱,54,64,45,57,43,98,71,64,责任型,调解者,0,排骨党,2000,3,5,0.26,几乎不买,97,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P005,普通,71,61,68,79,70,62,56,70,摆烂型,无,4.5,排骨党,8000,23,5,0.23,几乎不买,57,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P006,普通,69,72,66,58,75,62,52,60,摆烂型,无,7.1,排骨党,8000,23,15,0.26,几乎不买,54,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P007,中上,77,69,88,69,77,80,97,79,气氛组,无,0,排骨党,3000,4,18,0.07,几乎不买,35,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P008,顶级,97,98,98,80,98,50,72,82,沉默型,无,3.5,武器饰品党,20000,47,69,0.71,武器|饰品,58,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P009,普通,66,66,55,47,52,50,30,41,玻璃心,嘴硬型,16.4,实力消费,50000,58,53,0.72,饰品|武器|套装,75,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P010,中上,83,85,78,80,82,70,63,60,自信型,嘴硬型,4,口嗨消费,12000,42,16,0.3,随机,75,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P011,普通,68,68,72,67,73,86,86,95,稳定型,无,0,排骨党,8000,16,7,0.05,几乎不买,39,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P012,顶级,94,98,98,94,80,50,41,55,摆烂型,情绪跟随,13.3,武器饰品党,19000,54,70,0.86,武器|饰品,62,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P013,优秀,93,98,81,97,80,72,73,75,数据执着,气氛组,0,武器饰品党,26000,46,59,0.75,武器|饰品,72,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P014,中上,78,84,76,81,86,67,49,46,调解者,数据执着,9.6,实力消费,29000,76,43,0.76,饰品|武器|套装,47,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P015,普通,68,78,55,50,54,56,51,49,一把哥,无,26.1,实力消费,25000,80,48,0.79,饰品|武器|套装,61,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P016,中上,81,71,80,66,85,50,68,71,情绪跟随,无,2.5,口嗨消费,15000,39,23,0.26,随机,65,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P017,中上,80,83,84,71,70,74,80,66,气氛组,无,0,武器饰品党,24000,60,60,0.84,武器|饰品,72,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P018,优秀,93,92,79,84,68,68,62,73,数据执着,无,3.4,捡漏型,14000,54,18,0.53,低价,66,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P019,中上,81,85,91,85,98,85,56,47,老黄牛,无,2.7,捡漏型,8000,30,37,0.44,低价,97,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P020,中上,78,78,88,86,83,74,56,46,情绪跟随,玻璃心,5.4,捡漏型,17000,50,36,0.53,低价,60,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P021,偏弱,61,56,66,57,60,80,83,75,责任型,数据执着,0,排骨党,1000,1,13,0.07,几乎不买,44,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P022,顶级,91,98,82,96,77,57,59,71,稳定型,无,1.8,毕业装党,48000,63,76,0.96,S|S+,54,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P023,中上,83,89,83,75,75,93,48,45,责任型,无,7.4,小老板,55000,76,39,0.7,主专精|饰品|武器,87,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P024,普通,65,64,66,50,54,70,70,73,团长型,无,0.5,大老板,90000,89,78,0.87,全部,85,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P025,偏弱,58,59,66,52,59,68,63,72,稳定型,责任型,0.5,排骨党,1000,0,5,0.23,几乎不买,89,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P026,偏弱,56,45,53,55,36,67,65,59,数据执着,无,0.1,排骨党,3000,23,15,0.23,几乎不买,79,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P027,优秀,85,90,94,82,92,83,68,80,调解者,无,0.3,武器饰品党,21000,69,69,0.81,武器|饰品,94,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P028,顶级,91,84,91,75,96,78,52,54,情绪跟随,无,6.1,捡漏型,3000,53,33,0.43,低价,51,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P029,普通,74,69,83,66,63,83,84,94,压力怪,调解者,0,小老板,24000,57,51,0.72,主专精|饰品|武器,91,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P030,优秀,82,90,98,77,90,79,49,40,老黄牛,无,4.3,捡漏型,19000,60,26,0.36,低价,47,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P031,普通,73,60,71,76,55,61,52,56,团长型,无,9.2,大老板,84000,83,85,0.88,全部,61,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P032,中上,77,71,69,89,86,74,73,77,自信型,无,0,捡漏型,18000,56,39,0.38,低价,93,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P033,中上,76,66,74,59,57,64,49,43,沉默型,玻璃心,13.7,实力消费,44000,53,57,0.77,饰品|武器|套装,64,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P034,优秀,83,69,73,93,93,53,69,64,嘴硬型,无,0.2,实力消费,61000,53,57,0.79,饰品|武器|套装,67,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P035,普通,64,50,58,70,62,64,64,58,压力怪,无,4.1,小老板,57000,76,48,0.79,主专精|饰品|武器,57,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P036,优秀,84,83,92,85,96,58,47,56,稳定型,调解者,8.9,排骨党,2000,0,13,0.05,几乎不买,79,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P037,优秀,83,72,74,63,70,66,64,85,玻璃心,无,1.6,实力消费,32000,59,35,0.81,饰品|武器|套装,97,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
