player_id,name,class,signup_spec,signup_role,signup_item_level,claimed_offspec,progress_display,achievement_verified,public_economy_claim,whisper_pool
P001,北落,盗贼,战斗贼,近战DPS,231,,无链接,否,缺武器饰品,战斗贼 熟练|战斗贼 大号全通|战斗贼 成就在大号
P002,白榆,圣骑士,惩戒,近战DPS,227,奶骑,小号无成就,否,看掉落,惩戒 成就在大号|惩戒 小号会打|惩戒 看掉落
P003,迟雨,圣骑士,防骑,坦克,232,奶骑、惩戒,小号无成就,否,有便宜就拿,防骑 成就在大号|防骑 全通经验|防骑 包会
P004,青砚,猎人,射击猎,远程DPS,215,,无链接,否,熟练工,射击猎 小号会打|射击猎 包会|射击猎 成就在大号
P005,十三,德鲁伊,奶德,治疗,228,,4H,是,半打半消,奶德 熟练|奶德 大号全通|奶德 1
P006,林间,盗贼,刺杀贼,近战DPS,217,,小号无成就,否,熟练工,刺杀贼 小号会打|刺杀贼 听指挥|刺杀贼 包会
P007,逐月,牧师,暗牧,远程DPS,220,,10人12/14,是,打工,暗牧 1|暗牧 小号会打|暗牧 大号全通
P008,阿布,法师,火法,远程DPS,225,,大号全通,否,看武器消费,火法 听指挥|火法 熟练|火法 包会
P009,小满,猎人,生存猎,远程DPS,212,,无链接,否,打工,生存猎 大号全通|生存猎 111|生存猎 听指挥
P010,折风,德鲁伊,猫德,近战DPS,217,熊德,10人9/14,是,消费2w,猫德 1|猫德 111|猫德 包会
P011,长川,萨满,增强,近战DPS,216,,无链接,否,全通打工,增强 小号会打|增强 熟练|增强 大号全通
P012,七七,萨满,奶萨,治疗,232,元素,10人12/14,是,缺武器饰品,奶萨 111|奶萨 小号会打|奶萨 听指挥
P013,南乔,德鲁伊,鸟德,远程DPS,226,,10人全通,是,有消费,鸟德 有消费|鸟德 大号全通|鸟德 熟练
P014,木槿,德鲁伊,熊德,坦克,226,奶德,10人12/14,是,半打半消,熊德 111|熊德 全通经验|熊德 包会
P015,归尘,圣骑士,奶骑,治疗,218,惩戒,小号无成就,否,消费2w,奶骑 111|奶骑 听指挥|奶骑 消费2w
P016,星河,术士,痛苦术,远程DPS,227,,10人12/14,是,有消费,痛苦术 熟练|痛苦术 全通经验|痛苦术 1
P017,余温,术士,恶魔术,远程DPS,229,,小号无成就,否,消费2w,恶魔术 听指挥|恶魔术 包会|恶魔术 熟练
P018,听雪,牧师,戒律牧,治疗,225,神牧,10人9/14,是,打工,戒律牧 包会|戒律牧 听指挥|戒律牧 111
P019,谷雨,死亡骑士,冰DK,近战DPS,220,,10人12/14,是,半打半消,冰DK 1|冰DK 111|冰DK 小号会打
P020,墨白,死亡骑士,邪DK,近战DPS,227,冰DK,小号无成就,否,有便宜就拿,邪DK 可切冰DK|邪DK 包会|邪DK 听指挥
