buff_id,buff_name,provider_class,provider_spec,power_bonus,physical_pct,caster_pct,melee_pct,ranged_pct,healing_pct,icon_file,description
battle_shout,战斗怒吼,战士,,0.25,3,0,2,0,0,ability_warrior_battleshout.png,物理输出提高3%；近战额外提高2%
arcane_brilliance,奥术光辉,法师,,0.20,0,4,0,0,3,Arcane Intellect.png,法系输出提高4%；治疗提高3%
blessing_of_kings,王者祝福,圣骑士,,0.40,1.5,1.5,0,0,1.5,Blessing of Kings.png,所有输出与治疗提高1.5%
bloodlust,嗜血,萨满,,0.60,4,4.5,1,1,3.5,Bloodlust.png,所有输出与治疗提高4%；DPS额外提高1%
demonic_pact,恶魔契约,术士,恶魔术,0.30,0,4,0,0,3,Demonic Pact.png,法系输出提高4%；治疗提高3%
horn_of_winter,寒冬号角,死亡骑士,,0.25,3,0,2,0,0,Horn of Winter.png,物理输出提高3%；近战额外提高2%
gift_of_the_wild,野性赐福,德鲁伊,,0.45,1,1,0,0,1,Mark of the Wild.png,全团输出与治疗提高1%，并提高稳定性
moonkin_form,枭兽形态,德鲁伊,鸟德,0.25,0,4,0,2,0,Moonkin Form.png,法系输出提高4%；远程额外提高2%
prayer_of_fortitude,坚韧祷言,牧师,,0.45,0,0,0,0,2,Power Word Fortitude.png,治疗提高2%，并提高全团容错
savage_combat,野蛮战斗,盗贼,战斗贼,0.15,2,0,0,0,0,Savage Combat.jpg,物理输出提高2%
