boss_id,order,boss_name,reached_runs,fights,kills,clear_pct_per_reach,wipes,wipe_pct_per_fight,avg_attempts_per_reach,stop_runs,stop_pct_of_all_runs,leave_events,runs_with_leave,leave_run_pct_per_reach,leave_pct_per_reach,leave_pct_per_fight,collapse_leaves,avg_team_dps,avg_team_hps,avg_duration_seconds,avg_remaining_hp_on_wipe,wipe_failure_causes,leave_types
B01,1,烈焰巨兽,3000,3248,2998,99.93,250,7.7,1.083,2,0.07,47,46,1.53,1.57,1.45,0,54141.9,11459.7,113.9,31.46,机制失误:250,直接退团:32|违规封号:13|战术下线:1|开喷退团:1
B02,2,掌炉者伊格尼斯,2998,5169,2604,86.86,2565,49.62,1.724,394,13.13,742,508,16.94,24.75,14.35,0,56574.6,12170.4,89.4,77.2,阵容失衡:2208|机制失误:353|治疗不足:4,直接退团:450|借故离开:97|开喷退团:95|战术下线:87|违规封号:12|网吧到点:1
B03,3,锋鳞,2604,3528,2455,94.28,1073,30.41,1.355,175,5.83,306,206,7.91,11.75,8.67,0,55476.8,11753.7,118.1,70.62,阵容失衡:745|机制失误:322|治疗不足:6,直接退团:159|借故离开:54|战术下线:51|开喷退团:39|违规封号:3
B04,4,XT-002拆解者,2429,3424,2304,94.85,1120,32.71,1.41,127,4.23,552,341,14.04,22.73,16.12,0,54170.8,11362.4,156.9,43.49,机制失误:513|治疗不足:513|阵容失衡:94,直接退团:267|开喷退团:109|借故离开:91|战术下线:79|违规封号:6
B05,5,钢铁议会,2302,4673,1916,83.23,2757,59,2.03,387,12.9,1360,771,33.49,59.08,29.1,0,52817.7,12517.3,148.4,44.54,机制失误:1395|阵容失衡:719|治疗不足:641|输出不足:2,直接退团:650|借故离开:292|开喷退团:214|战术下线:196|违规封号:8
B06,6,科隆加恩,1915,2211,1899,99.16,312,14.11,1.155,16,0.53,44,38,1.98,2.3,1.99,0,55522.2,12026.6,147.4,58.1,机制失误:254|阵容失衡:58,直接退团:32|战术下线:5|违规封号:4|借故离开:2|开喷退团:1
B07,7,奥莉亚,1899,2379,1885,99.26,494,20.77,1.253,14,0.47,53,49,2.58,2.79,2.23,0,52153.7,12142.2,152.3,59.43,机制失误:486|阵容失衡:3|治疗不足:3|输出不足:2,直接退团:31|违规封号:8|战术下线:5|开喷退团:5|借故离开:3|网吧到点:1
B08,8,霍迪尔,1885,3076,1780,94.43,1296,42.13,1.632,105,3.5,470,343,18.2,24.93,15.28,1,52041.5,12421.3,143.1,55.47,机制失误:1157|阵容失衡:93|输出不足:29|治疗不足:17,直接退团:211|借故离开:99|战术下线:89|开喷退团:63|违规封号:6|网吧到点:1|分崩离析:1
B09,9,托里姆,1780,2904,1705,95.79,1199,41.29,1.631,76,2.53,168,141,7.92,9.44,5.79,0,52112.9,13023.9,137.3,63.43,机制失误:1011|阵容失衡:168|输出不足:18|治疗不足:2,直接退团:89|借故离开:34|战术下线:21|开喷退团:18|违规封号:6
B10,10,弗蕾亚,1704,3968,1403,82.34,2565,64.64,2.329,301,10.03,710,484,28.4,41.67,17.89,3,51767.6,12469.2,142.4,52.73,机制失误:1754|治疗不足:552|阵容失衡:202|输出不足:57,直接退团:313|借故离开:163|战术下线:130|开喷退团:97|分崩离析:3|违规封号:3|网吧到点:1
B11,11,米米尔隆,1403,3598,1132,80.68,2466,68.54,2.565,271,9.03,652,428,30.51,46.47,18.12,2,50264.4,13810.9,131.4,58.73,机制失误:2154|输出不足:201|阵容失衡:92|治疗不足:19,直接退团:285|借故离开:149|战术下线:107|开喷退团:105|违规封号:4|分崩离析:2
B12,12,维扎克斯将军,1132,3042,886,78.27,2156,70.87,2.687,246,8.2,547,376,33.22,48.32,17.98,3,52316.5,12409.9,115.3,64.74,机制失误:1917|阵容失衡:186|输出不足:40|治疗不足:13,直接退团:227|借故离开:127|战术下线:102|开喷退团:84|违规封号:4|分崩离析:3
B13,13,尤格萨隆,886,3312,500,56.43,2812,84.9,3.738,386,12.87,255,217,24.49,28.78,7.7,8,51579.4,14418.7,107.2,64.6,机制失误:2615|输出不足:131|阵容失衡:66,直接退团:112|借故离开:51|战术下线:48|开喷退团:36|分崩离析:8
B14,14,观察者奥尔加隆,500,2187,171,34.2,2016,92.18,4.374,329,10.97,41,40,8,8.2,1.87,1,52130.1,15295.1,72.4,77.34,机制失误:1798|阵容失衡:190|输出不足:28,直接退团:23|借故离开:8|战术下线:4|开喷退团:4|分崩离析:1|违规封号:1
