BossID,顺序,Boss名称,到达局数,战斗场次,击杀次数,到达后通关率(%),灭团次数,每场灭团率(%),到达后平均尝试次数,止步局数,占全部局数的止步率(%),发生退团的局数,到达后退团局率(%),退团事件数,退团事件/到达局(%),分崩离析次数,平均团队DPS,平均团队HPS,平均战斗时长(秒),灭团时平均剩余血量(%),灭团原因明细,退团类型明细
B01,1,烈焰巨兽,3000,3174,2997,99.9,177,5.58,1.058,3,0.1,54,1.8,54,1.8,0,53328.1,11716.3,113.7,29.45,机制失误:177,直接退团:47|违规封号:6|开喷退团:1
B02,2,掌炉者伊格尼斯,2997,4224,2796,93.29,1428,33.81,1.409,201,6.7,273,9.11,387,12.91,0,55585.7,12308.2,107.8,73.65,阵容失衡:1131|机制失误:294|治疗不足:3,直接退团:255|战术下线:47|借故离开:38|开喷退团:36|违规封号:10|网吧到点:1
B03,3,锋鳞,2796,3307,2731,97.68,576,17.42,1.183,88,2.93,119,4.26,171,6.12,0,55091.9,11993.8,131.5,66.07,阵容失衡:334|机制失误:237|治疗不足:5,直接退团:103|借故离开:28|战术下线:16|开喷退团:13|违规封号:11
B04,4,XT-002拆解者,2708,3227,2689,99.3,538,16.67,1.192,24,0.8,174,6.43,207,7.64,0,54358.1,11987.4,152.2,49.1,机制失误:437|治疗不足:61|阵容失衡:40,直接退团:136|借故离开:22|开喷退团:20|战术下线:16|违规封号:13
B05,5,钢铁议会,2684,4620,2486,92.62,2134,46.19,1.721,202,6.73,585,21.8,884,32.94,0,52969.2,12780.1,154.6,40.77,机制失误:1320|治疗不足:437|阵容失衡:376|输出不足:1,直接退团:523|借故离开:142|战术下线:126|开喷退团:86|违规封号:5|网吧到点:2
B06,6,科隆加恩,2482,2807,2470,99.52,337,12.01,1.131,12,0.4,49,1.97,52,2.1,0,56461.2,12219.8,146.8,56.09,机制失误:288|阵容失衡:48|治疗不足:1,直接退团:38|违规封号:6|借故离开:3|开喷退团:3|战术下线:2
B07,7,奥莉亚,2470,3012,2464,99.76,548,18.19,1.219,6,0.2,62,2.51,64,2.59,0,52594.5,12429.9,154.1,57.03,机制失误:540|阵容失衡:4|输出不足:3|治疗不足:1,直接退团:47|违规封号:12|借故离开:2|开喷退团:2|战术下线:1
B08,8,霍迪尔,2464,4309,2368,96.1,1941,45.05,1.749,96,3.2,471,19.12,611,24.8,0,52059.4,12795.2,142.6,52.16,机制失误:1718|阵容失衡:162|输出不足:48|治疗不足:13,直接退团:369|借故离开:85|战术下线:77|开喷退团:75|违规封号:5
B09,9,托里姆,2368,3876,2308,97.47,1568,40.45,1.637,60,2,164,6.93,180,7.6,1,52445.7,13409.1,138.1,61.37,机制失误:1396|阵容失衡:156|输出不足:14|治疗不足:2,直接退团:124|借故离开:20|战术下线:13|开喷退团:12|违规封号:8|网吧到点:2|分崩离析:1
B10,10,弗蕾亚,2308,5195,2027,87.82,3168,60.98,2.251,281,9.37,558,24.18,751,32.54,2,51826.4,12994.9,132.6,57.4,机制失误:2611|治疗不足:316|阵容失衡:177|输出不足:64,直接退团:391|借故离开:129|战术下线:116|开喷退团:106|违规封号:7|分崩离析:2
B11,11,米米尔隆,2027,5613,1600,78.93,4013,71.49,2.769,427,14.23,676,33.35,933,46.03,5,50403.4,14268.9,124.8,59.92,机制失误:3595|输出不足:232|阵容失衡:169|治疗不足:17,直接退团:439|借故离开:173|战术下线:157|开喷退团:149|违规封号:8|分崩离析:5|网吧到点:2
B12,12,维扎克斯将军,1600,4463,1231,76.94,3232,72.42,2.789,369,12.3,543,33.94,775,48.44,10,52896.1,12797.5,113.3,64.14,机制失误:2942|阵容失衡:245|输出不足:31|治疗不足:14,直接退团:348|借故离开:161|开喷退团:125|战术下线:124|分崩离析:10|违规封号:7
B13,13,尤格萨隆,1231,4839,603,48.98,4236,87.54,3.931,628,20.93,306,24.86,336,27.29,23,51710.7,14971.7,98.4,67.31,机制失误:4064|输出不足:106|阵容失衡:63|治疗不足:3,直接退团:132|借故离开:66|战术下线:58|开喷退团:55|分崩离析:23|违规封号:2
B14,14,观察者奥尔加隆,603,2669,165,27.36,2504,93.82,4.426,438,14.6,47,7.79,48,7.96,6,52264.8,15928,65.9,79.07,机制失误:2282|阵容失衡:196|输出不足:26,直接退团:12|借故离开:11|战术下线:9|开喷退团:9|分崩离析:6|违规封号:1
