人物ID,姓名,自建批次,职业,报名专精,报名职责,战斗档位,入组局数,初始入组局数,替补入组局数,所在团队全通次数,所在团队全通率(%),本人留队全通次数,本人留队全通率(%),到达观星者次数,到达观星者率(%),参战场次,全职责平均DPS,全职责平均HPS,DPS职责场次,DPS职责平均DPS,治疗职责场次,治疗职责平均HPS,坦克职责场次,坦克职责平均DPS,最高DPS,最高HPS,死亡次数,每场死亡率(%),被战复次数,背锅次数,每场背锅率(%),退团次数,入组后退团率(%),分崩离析退团次数,基础退团率(%),退团规则,退团类型明细,退团Boss明细
P081,多多虎,A批,萨满,元素,远程DPS,顶级,377,290,87,26,6.9,22,5.84,77,20.42,5005,9080.5,0,5005,9080.5,0,0,0,0,11597,0,37,0.74,34,58,1.16,174,46.15,0,4,条件退队,开喷退团:131|直接退团:43,B12:39|B11:35|B10:25|B05:20|B02:16|B08:14|B13:12|B04:5|B09:5|B03:1|B07:1|B14:1
P082,动与参与商,A批,牧师,戒律牧,治疗,顶级,903,862,41,76,8.42,75,8.31,238,26.36,15752,290.2,7586.2,0,0,15752,7586.2,0,0,322,10929,136,0.86,123,150,0.95,288,31.89,0,3,条件退队,直接退团:119|借故离开:80|战术下线:68|违规封号:21,B11:61|B12:58|B08:32|B13:26|B05:26|B02:23|B10:23|B03:14|B04:13|B01:3|B09:3|B06:2|B07:2|B14:2
P083,芙兰秀秀,A批,圣骑士,防骑,坦克,中上,2044,2019,25,121,5.92,121,5.92,449,21.97,38596,2725.3,0,0,0,0,0,38596,2725.3,3199,0,951,2.46,0,2361,6.12,0,0,0,0,永不主动退队,,
P084,萌战,A批,战士,狂暴战,近战DPS,优秀,2065,2005,60,130,6.3,130,6.3,454,21.99,37496,8114.5,0,37496,8114.5,0,0,0,0,11503,0,365,0.97,316,441,1.18,0,0,0,0,永不主动退队,,
P085,成都漫游者,A批,盗贼,战斗贼,近战DPS,普通,85,46,39,2,2.35,2,2.35,11,12.94,1192,6840.8,0,1192,6840.8,0,0,0,0,9232,0,24,2.01,20,20,1.68,0,0,0,0,永不主动退队,,
P086,汉祚将尽,A批,猎人,生存猎,远程DPS,中上,1324,1235,89,56,4.23,56,4.23,246,18.58,23117,7617.4,0,23117,7617.4,0,0,0,0,11004,0,370,1.6,329,1108,4.79,0,0,0,0,永不主动退队,,
P087,愤怒月神,A批,德鲁伊,鸟德,远程DPS,普通,75,32,43,0,0,0,0,7,9.33,808,6682.5,0,808,6682.5,0,0,0,0,8192,0,23,2.85,20,54,6.68,20,26.67,0,0,条件退队,开喷退团:12|网吧到点:5|直接退团:3,B05:4|B11:4|B09:2|B08:2|B13:2|B04:2|B10:2|B02:1|B03:1
P088,美味小熊饼干,A批,术士,恶魔术,远程DPS,普通,1640,1569,71,98,5.98,98,5.98,343,20.91,29448,7717.8,0,29448,7717.8,0,0,0,0,9971,0,443,1.5,363,1142,3.88,24,1.46,24,0,永不主动退队,分崩离析:24,B13:11|B14:4|B12:3|B11:3|B10:2|B09:1
P089,魅惑灵魂之火,A批,术士,痛苦术,远程DPS,普通,213,156,57,8,3.76,7,3.29,26,12.21,3053,6731,0,3053,6731,0,0,0,0,8907,0,50,1.64,40,167,5.47,49,23,0,1,正常,借故离开:18|直接退团:17|战术下线:14,B11:11|B10:9|B05:8|B12:5|B13:5|B08:4|B03:2|B02:2|B04:2|B07:1
P090,血暮残影,A批,圣骑士,奶骑,治疗,中上,320,289,31,6,1.88,6,1.88,32,10,5143,240.4,5644.5,0,0,5143,5644.5,0,0,271,8020,81,1.57,75,119,2.31,0,0,0,0,永不主动退队,,
P091,姆巴妹,A批,死亡骑士,邪DK,近战DPS,中上,1310,1214,96,37,2.82,37,2.82,178,13.59,22569,6754.2,0,22569,6754.2,0,0,0,0,9841,0,532,2.36,482,1507,6.68,0,0,0,0,永不主动退队,,
P092,初中肄业,A批,圣骑士,防骑,坦克,顶级,2103,2097,6,160,7.61,160,7.61,514,24.44,39544,3353.4,0,0,0,0,0,39544,3353.4,3815,0,395,1,0,811,2.05,660,31.38,0,0,特殊事件退队,直接退团:247|借故离开:194|战术下线:178|违规封号:41,B11:141|B12:134|B10:97|B05:84|B13:67|B08:58|B02:22|B04:16|B14:13|B03:9|B09:9|B07:5|B06:4|B01:1
P093,茗依,A批,牧师,暗牧,远程DPS,优秀,633,564,69,45,7.11,45,7.11,143,22.59,10811,8411.3,0,10811,8411.3,0,0,0,0,10938,0,76,0.7,65,113,1.05,0,0,0,0,永不主动退队,,
P094,野萌君,A批,德鲁伊,鸟德,远程DPS,优秀,1007,915,92,86,8.54,86,8.54,233,23.14,17492,8314.1,0,17492,8314.1,0,0,0,0,10630,0,208,1.19,170,334,1.91,0,0,0,0,永不主动退队,,
P095,多多球,A批,法师,火法,远程DPS,顶级,9,5,4,1,11.11,0,0,1,11.11,117,8489.7,0,117,8489.7,0,0,0,0,10410,0,2,1.71,1,1,0.85,5,55.56,0,6,条件退队,直接退团:3|战术下线:1|借故离开:1,B13:3|B02:1|B12:1
P096,Kumaco,A批,牧师,戒律牧,治疗,中上,1187,1136,51,54,4.55,54,4.55,209,17.61,21409,247.8,6546.4,0,0,21409,6546.4,0,0,277,9461,351,1.64,315,644,3.01,12,1.01,12,0,永不主动退队,分崩离析:12,B12:6|B13:6
P097,佐贺偶像,A批,盗贼,刺杀贼,近战DPS,优秀,1854,1780,74,86,4.64,86,4.64,333,17.96,33225,7045.6,0,33225,7045.6,0,0,0,0,10267,0,605,1.82,536,1754,5.28,0,0,0,0,永不主动退队,,
P098,元素打击,A批,萨满,元素,远程DPS,中上,35,15,20,1,2.86,1,2.86,3,8.57,395,6353.7,0,395,6353.7,0,0,0,0,8391,0,12,3.04,11,26,6.58,9,25.71,0,0,条件退队,开喷退团:6|网吧到点:2|直接退团:1,B11:2|B10:2|B08:2|B09:2|B05:1
P099,小鸽鸽,A批,牧师,戒律牧,治疗,中上,447,412,35,10,2.24,10,2.24,46,10.29,7265,237.3,5669.7,0,0,7265,5669.7,0,0,269,7696,121,1.67,105,211,2.9,0,0,0,0,永不主动退队,,
P100,阿茸,A批,猎人,射击猎,远程DPS,中上,213,163,50,7,3.29,7,3.29,42,19.72,3517,7253.7,0,3517,7253.7,0,0,0,0,9039,0,45,1.28,39,110,3.13,1,0.47,1,0,永不主动退队,分崩离析:1,B13:1
P101,东星太子哥,A批,德鲁伊,熊德,坦克,中上,1574,1544,30,49,3.11,49,3.11,226,14.36,28732,2277.1,0,0,0,0,0,28732,2277.1,2813,0,536,1.87,0,2570,8.94,0,0,0,0,永不主动退队,,
P102,柠檬七喜,A批,萨满,奶萨,治疗,优秀,408,362,46,21,5.15,21,5.15,98,24.02,7279,259.7,6269.6,0,0,7279,6269.6,0,0,291,8597,84,1.15,78,216,2.97,0,0,0,0,永不主动退队,,
P103,苏三先生,B批,法师,火法,远程DPS,优秀,622,414,208,30,4.82,30,4.82,101,16.24,8978,8363.1,0,8978,8363.1,0,0,0,0,10857,0,115,1.28,98,254,2.83,0,0,0,0,永不主动退队,,
P104,冰冻玫瑰,B批,法师,火法,远程DPS,顶级,336,199,137,18,5.36,18,5.36,55,16.37,4343,8748.2,0,4343,8748.2,0,0,0,0,11521,0,43,0.99,39,56,1.29,55,16.37,0,2,正常,直接退团:23|借故离开:23|战术下线:9,B12:13|B11:11|B05:8|B02:4|B10:4|B08:3|B13:3|B03:3|B04:2|B09:2|B14:1|B06:1
P105,李一桐,B批,术士,恶魔术,远程DPS,顶级,879,632,247,52,5.92,52,5.92,194,22.07,12775,8899.7,0,12775,8899.7,0,0,0,0,11620,0,108,0.85,91,132,1.03,183,20.82,0,2,正常,直接退团:69|借故离开:60|战术下线:54,B11:41|B05:34|B12:27|B10:25|B08:20|B02:12|B13:11|B03:4|B09:4|B04:3|B06:1|B14:1
P106,鹿乃乃乃乃,B批,德鲁伊,鸟德,远程DPS,中上,483,303,180,15,3.11,14,2.9,65,13.46,5816,7865.9,0,5816,7865.9,0,0,0,0,10231,0,107,1.84,101,241,4.14,143,29.61,0,6.5,条件退队,开喷退团:114|直接退团:29,B11:34|B10:20|B12:18|B05:17|B08:15|B13:14|B02:7|B03:6|B04:4|B09:4|B14:4
P107,猫丶薄荷,B批,盗贼,刺杀贼,近战DPS,顶级,864,595,269,44,5.09,42,4.86,153,17.71,12193,7938.2,0,12193,7938.2,0,0,0,0,10772,0,122,1,105,196,1.61,160,18.52,0,2,正常,直接退团:77|借故离开:53|战术下线:30,B05:44|B11:22|B12:20|B10:18|B02:16|B13:13|B08:9|B09:8|B03:7|B14:1|B04:1|B06:1
P108,蔡先生,B批,盗贼,刺杀贼,近战DPS,灾难,196,92,104,1,0.51,1,0.51,6,3.06,1869,4847.1,0,1869,4847.1,0,0,0,0,6898,0,142,7.6,129,233,12.47,50,25.51,0,2,正常,开喷退团:40|直接退团:10,B10:17|B08:9|B12:7|B11:7|B05:5|B13:3|B01:1|B04:1
P109,圣光普惠众生,B批,牧师,暗牧,远程DPS,普通,220,105,115,4,1.82,4,1.82,10,4.55,2144,6758.7,0,2144,6758.7,0,0,0,0,8639,0,41,1.91,36,137,6.39,41,18.64,0,2,正常,借故离开:17|直接退团:17|战术下线:7,B05:10|B10:8|B11:6|B08:5|B12:4|B09:3|B02:3|B13:2
P110,牛润发,B批,德鲁伊,鸟德,远程DPS,中上,105,43,62,3,2.86,2,1.9,13,12.38,1115,7620.6,0,1115,7620.6,0,0,0,0,9963,0,19,1.7,17,42,3.77,22,20.95,0,2,正常,直接退团:11|借故离开:9|战术下线:2,B10:6|B13:5|B11:4|B12:3|B02:2|B08:1|B03:1
P111,陈七,B批,死亡骑士,冰DK,近战DPS,中上,88,29,59,2,2.27,2,2.27,8,9.09,877,6837.1,0,877,6837.1,0,0,0,0,9327,0,15,1.71,14,45,5.13,16,18.18,0,2,正常,战术下线:11|直接退团:5,B11:5|B05:4|B10:3|B03:1|B12:1|B08:1|B04:1
P112,Himlyameth,B批,猎人,射击猎,远程DPS,中上,113,51,62,0,0,0,0,11,9.73,1202,6963.7,0,1202,6963.7,0,0,0,0,8524,0,32,2.66,30,79,6.57,25,22.12,0,2,正常,直接退团:11|借故离开:11|战术下线:3,B12:7|B11:4|B05:4|B08:4|B10:2|B13:2|B09:1|B02:1
P113,少女拾拾腿,B批,法师,奥法,远程DPS,中上,32,8,24,1,3.13,1,3.13,3,9.38,236,6595.6,0,236,6595.6,0,0,0,0,8426,0,7,2.97,5,26,11.02,5,15.63,0,2,正常,直接退团:2|战术下线:2|借故离开:1,B09:1|B11:1|B05:1|B08:1|B12:1
P114,注意我的细节,B批,盗贼,战斗贼,近战DPS,优秀,474,290,184,8,1.69,6,1.27,55,11.6,6010,7111.3,0,6010,7111.3,0,0,0,0,9823,0,97,1.61,87,190,3.16,107,22.57,0,2,正常,直接退团:42|借故离开:42|战术下线:23,B05:21|B12:18|B10:18|B11:15|B08:15|B13:8|B02:6|B09:4|B03:1|B04:1
P115,蔡老二,B批,法师,奥法,远程DPS,灾难,20,6,14,0,0,0,0,1,5,222,5068.7,0,222,5068.7,0,0,0,0,6659,0,23,10.36,20,34,15.32,0,0,0,0,永不主动退队,,
P116,随先生,B批,术士,痛苦术,远程DPS,偏弱,11,1,10,0,0,0,0,0,0,71,6122.4,0,71,6122.4,0,0,0,0,7261,0,0,0,0,6,8.45,3,27.27,0,2,正常,战术下线:2|直接退团:1,B11:1|B10:1|B03:1
