player_id,name,class,signup_spec,signup_role,source_type,combat_tier,join_runs,initial_joins,replacement_joins,team_full_clear_runs,team_full_clear_pct,personal_full_clear_runs,personal_full_clear_pct,algalon_reach_runs,algalon_reach_pct,fights,avg_dps_all_fights,avg_hps_all_fights,dps_role_fights,avg_dps_as_dps,healer_fights,avg_hps_as_healer,tank_fights,avg_dps_as_tank,best_dps,best_hps,deaths,death_pct_per_fight,battle_reses,responsible_count,responsible_pct_per_fight,leave_count,leave_pct_per_join,collapse_leave_count,base_leave_pct,leave_policy,leave_types,leave_bosses
P001,北落,盗贼,战斗贼,近战DPS,随机生成,中上,131,131,0,3,2.29,3,2.29,9,6.87,1699,7220.4,0,1699,7220.4,0,0,0,0,9513,0,22,1.29,18,44,2.59,38,29.01,0,0,按基础退队率与团队状态计算,开喷退团:28|直接退团:10,B05:13|B10:6|B04:6|B03:4|B08:3|B12:3|B11:2|B02:1
P002,白榆,圣骑士,惩戒,近战DPS,随机生成,优秀,98,98,0,3,3.06,2,2.04,5,5.1,1308,7172.5,0,1308,7172.5,0,0,0,0,9207,0,12,0.92,11,20,1.53,35,35.71,0,9.4,按基础退队率与团队状态计算,直接退团:13|借故离开:12|战术下线:10,B05:9|B02:7|B11:5|B03:4|B12:3|B10:3|B08:2|B04:1|B13:1
P003,迟雨,圣骑士,防骑,坦克,随机生成,优秀,113,113,0,5,4.42,5,4.42,20,17.7,1738,2980.6,0,0,0,0,0,1738,2980.6,3327,0,25,1.44,0,69,3.97,32,28.32,0,0,按基础退队率与团队状态计算,开喷退团:24|直接退团:8,B05:6|B04:6|B11:4|B08:4|B13:4|B12:3|B10:2|B03:1|B02:1|B14:1
P004,青砚,猎人,射击猎,远程DPS,随机生成,偏弱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,按基础退队率与团队状态计算,,
P005,十三,德鲁伊,奶德,治疗,随机生成,普通,47,47,0,1,2.13,1,2.13,2,4.26,634,235.9,5925.6,0,0,634,5925.6,0,0,261,7521,20,3.15,19,21,3.31,18,38.3,0,4.5,按基础退队率与团队状态计算,直接退团:10|借故离开:7|战术下线:1,B05:5|B10:5|B02:2|B11:2|B03:2|B12:1|B08:1
P006,林间,盗贼,刺杀贼,近战DPS,随机生成,普通,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,按基础退队率与团队状态计算,,
P007,逐月,牧师,暗牧,远程DPS,随机生成,中上,5,5,0,0,0,0,0,2,40,84,7241.5,0,84,7241.5,0,0,0,0,8603,0,3,3.57,3,4,4.76,2,40,0,0,按基础退队率与团队状态计算,战术下线:1|直接退团:1,B10:1|B05:1
P008,阿布,法师,火法,远程DPS,随机生成,顶级,40,40,0,5,12.5,5,12.5,6,15,529,8702.7,0,529,8702.7,0,0,0,0,10807,0,3,0.57,3,4,0.76,13,32.5,0,3.5,按基础退队率与团队状态计算,战术下线:12|直接退团:1,B08:3|B05:3|B13:2|B10:2|B11:1|B12:1|B02:1
P009,小满,猎人,生存猎,远程DPS,随机生成,普通,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,按基础退队率与团队状态计算,,
P010,折风,德鲁伊,猫德,近战DPS,随机生成,中上,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,按基础退队率与团队状态计算,,
